Make|Model|EngineSize|EngineCylinders|TankSize|MpgCity|MpgHighway|Time(minutes)|Time(d.hh:mm)|CostFueldAdded|CostFuelUsed|FuelAdded|FuelUsed|FuelRemaining|FuelStops
Car      |Chevrolet      |00.0|1|04.0|10|28|0006|0.00:06|0079.14|0088.78|0036.1361|40.5391|0036.0000|04
Car      |Chevrolet      |00.0|1|04.0|12|22|0005|0.00:05|0077.79|0093.64|0035.5207|42.7581|0035.0000|03
Car      |Chevrolet      |00.0|1|04.0|12|25|0005|0.00:05|0076.92|0092.19|0035.1217|42.0946|0035.0000|03
Car      |Chevrolet      |00.0|3|06.0|13|19|0007|0.00:07|0102.82|0115.93|0046.9518|52.9383|0028.0000|04
SUV      |Chevrolet      |00.0|5|08.0|33|13|0015|0.00:15|0139.69|0179.03|0063.7853|81.7466|0018.0000|02
SUV      |Chevrolet      |00.0|6|08.0|36|10|0003|0.00:03|0145.50|0216.88|0066.4383|99.0317|0015.0000|02
Minivan  |Chrysler       |00.0|3|06.0|12|22|0006|0.00:06|0098.42|0110.51|0044.9405|50.4606|0029.0000|04
Car      |Chrysler       |300.0|5|06.0|13|18|0007|0.00:07|0103.29|0116.71|0047.1657|53.2940|0028.0000|04
Minivan  |Dodge          |00.0|3|06.0|12|23|0007|0.00:07|0098.10|0109.98|0044.7960|50.2202|0029.0000|04
Car      |Dodge          |00.0|5|08.0|13|16|0009|0.00:09|0123.06|0130.79|0056.1932|59.7231|0025.0000|05
Car      |Dodge          |00.0|5|08.0|13|17|0003|0.00:03|0104.34|0125.42|0047.6433|57.2713|0026.0000|04
Car      |Ford           |00.0|1|04.0|09|29|0005|0.00:05|0073.29|0082.36|0033.4673|37.6051|0039.0000|04
Car      |Ford           |00.0|2|04.0|11|27|0005|0.00:05|0070.88|0084.96|0032.3632|38.7950|0038.0000|03
Car      |Ford           |00.0|2|04.0|12|22|0002|0.00:02|0076.75|0098.58|0035.0477|45.0144|0033.0000|03
Car      |Ford           |00.0|3|06.0|13|19|0007|0.00:07|0099.57|0112.42|0045.4655|51.3337|0029.0000|04
Car      |Ford           |00.0|5|08.0|12|18|0002|0.00:02|0107.61|0128.94|0049.1379|58.8783|0025.0000|05
Van      |Ford           |00.0|5|08.0|33|14|0010|0.00:10|0136.00|0186.89|0062.0985|85.3363|0017.0000|02
Van      |Ford           |00.0|5|08.0|36|09|0010|0.00:10|0150.14|0207.95|0068.5559|94.9542|0016.0000|02
SUV      |Ford           |00.0|5|08.0|19|13|0010|0.00:10|0151.43|0170.68|0069.1453|77.9366|0019.0000|04
Truck    |Ford           |00.0|6|08.0|25|15|0001|0.00:01|0107.79|0160.44|0049.2192|73.2600|0020.0000|02
Truck    |Ford           |00.0|6|08.0|23|14|0010|0.00:10|0141.33|0169.22|0064.5329|77.2682|0019.0000|03
Car      |Honda          |00.0|1|04.0|12|28|0005|0.00:05|0069.00|0082.68|0031.5061|37.7549|0039.0000|03
Car      |Honda          |00.0|3|06.0|12|21|0002|0.00:02|0075.06|0096.61|0034.2730|44.1164|0034.0000|03
Car      |Hyundai        |00.0|1|04.0|10|28|0006|0.00:06|0077.15|0086.64|0035.2301|39.5609|0037.0000|04
Car      |Hyundai        |00.0|1|04.0|13|28|0010|0.00:10|0080.02|0084.61|0036.5385|38.6341|0038.0000|03
Car      |Hyundai        |00.0|2|04.0|13|24|0006|0.00:06|0077.18|0092.63|0035.2436|42.2973|0035.0000|03
Car      |Mazda          |00.0|2|04.0|11|24|0006|0.00:06|0086.77|0097.57|0039.6191|44.5536|0033.0000|04
Car      |Mazda          |00.0|2|04.0|11|22|0000|0.00:00|0089.16|0114.02|0040.7125|52.0653|0028.0000|04
Car      |Mazda          |00.0|3|06.0|12|18|0008|0.00:08|0113.54|0120.49|0051.8463|55.0176|0027.0000|05
Car      |Toyota         |00.0|1|04.0|12|26|0005|0.00:05|0078.74|0094.18|0035.9561|43.0024|0034.0000|03
Minivan  |Toyota         |00.0|2|04.0|13|19|0003|0.00:03|0111.26|0132.92|0050.8021|60.6943|0024.0000|05
Car      |Toyota         |00.0|3|06.0|13|21|0002|0.00:02|0081.58|0104.74|0037.2527|47.8251|0031.0000|03
SUV      |Toyota         |04.0|4|06.0|15|17|0003|0.00:03|0126.94|0151.56|0057.9625|69.2035|0021.0000|05

SUV      |Chevrolet      |00.0|5|08.0|33|13|0015|0.00:15|0139.69|0179.03|0063.7853|81.7466|0018.0000|02  # Vehicle arriving first
Minivan  |Toyota         |00.0|2|04.0|13|19|0003|0.00:03|0111.26|0132.92|0050.8021|60.6943|0024.0000|05  # Vehicle arriving last
Car      |Honda          |00.0|1|04.0|12|28|0005|0.00:05|0069.00|0082.68|0031.5061|37.7549|0039.0000|03  # Vehicle costing least (fuel added)
SUV      |Ford           |00.0|5|08.0|19|13|0010|0.00:10|0151.43|0170.68|0069.1453|77.9366|0019.0000|04  # Vehicle costing most (fuel added)
Car      |Ford           |00.0|1|04.0|09|29|0005|0.00:05|0073.29|0082.36|0033.4673|37.6051|0039.0000|04  # Vehicle costing least (fuel used)
SUV      |Chevrolet      |00.0|6|08.0|36|10|0003|0.00:03|0145.50|0216.88|0066.4383|99.0317|0015.0000|02  # Vehicle costing most (fuel used)
